workerid,proliferate.condition,adj1,adj2,label,left_end,object,response,right_end,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
53,condition1,,,,,Jennifer,Jennifer,,0,1,bot_check,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,wooden,high,table_wood_high,"""wooden high table""",table,[0.82],"""high wooden table""",8077,3,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,mustache-touting,hat-wearing,man2_mustached_hatted,"""hat-wearing mustache-touting man""",man,[0.12],"""mustache-touting hat-wearing man""",5311,4,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,bearded,glasses-wearing,man2_bearded_glassed,"""glasses-wearing bearded man""",man,[0.12],"""bearded glasses-wearing man""",4500,5,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,old,happy,woman_old_happy,"""happy old woman""",woman,[0.12],"""old happy woman""",3051,6,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,striped,green,frog_striped_green,"""green striped frog""",frog,[0.89],"""striped green frog""",4995,7,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,short,black,pencil_short_black,"""short black pencil""",pencil,[0.12],"""black short pencil""",3483,8,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,black,matte,nails_black_matte,"""black matte nails""",nails,[0.88],"""matte black nails""",3120,9,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,old,clean-shaven,man_old_cleanshaven,"""old clean-shaven man""",man,[0.89],"""clean-shaven old man""",4292,10,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,sad,skinny,woman2_sad_skinny,"""sad skinny woman""",woman,[0.1],"""skinny sad woman""",3346,11,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,colored,square,picture_colored_square,"""square colored picture""",picture,[0.13],"""colored square picture""",4068,12,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,old,sad,woman_old_sad,"""sad old woman""",woman,[0.1],"""old sad woman""",6099,13,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,straight,blond,hair_straight_blonde,"""straight blond hair""",hair,[0.1],"""blond straight hair""",3183,14,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,metal,low,table_metal_low,"""metal low table""",table,[0.91],"""low metal table""",3611,15,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,glass,small,bottle_glass_small,"""glass small bottle""",bottle,[0.9],"""small glass bottle""",3698,16,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,metal,dirty,spoon_metal_dirty,"""metal dirty spoon""",spoon,[0.9],"""dirty metal spoon""",3579,17,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,long,blue,pencil_long_blue,"""blue long pencil""",pencil,[0.9],"""long blue pencil""",3725,18,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,curly,blond,hair_curly_blonde,"""blond curly hair""",hair,[0.87],"""curly blond hair""",2902,19,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,dry,red,shorts_dry_red,"""red dry shorts""",shorts,[0.91],"""dry red shorts""",3187,20,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,young,happy,woman_young_happy,"""young happy woman""",woman,[0.92],"""happy young woman""",3076,21,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,small,triangular,earring_small_triangular,"""triangular small earring""",earring,[0.91],"""small triangular earring""",4529,22,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,closed,cardboard,box_closed_cardboard,"""cardboard closed box""",box,[0.9],"""closed cardboard box""",4195,23,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,open,wooden,box_open_wood,"""wooden open box""",box,[0.93],"""open wooden box""",3691,24,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,young,clean-shaven,man_young_cleanshaven,"""clean-shaven young man""",man,[0.1],"""young clean-shaven man""",3286,25,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,wooden,dirty,spoon_wooden_dirty,"""dirty wooden spoon""",spoon,[0.08],"""wooden dirty spoon""",2715,26,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,young,bearded,man_young_bearded,"""young bearded man""",man,[0.89],"""bearded young man""",3371,27,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,straight,brown,hair_straight_brown,"""brown straight hair""",hair,[0.91],"""straight brown hair""",2859,28,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,happy,skinny,woman2_happy_skinny,"""happy skinny woman""",woman,[0.06],"""skinny happy woman""",3248,29,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,black and white,rectangular,picture_bw_rectangular,"""rectangular black and white picture""",picture,[0.11],"""black and white rectangular picture""",4618,30,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,plastic,big,bottle_plastic_big,"""plastic big bottle""",bottle,[0.93],"""big plastic bottle""",3779,31,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,glass,big,bottle_glass_big,"""big glass bottle""",bottle,[0.04],"""glass big bottle""",2004,32,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,sad,fat,woman2_sad_fat,"""sad fat woman""",woman,[0.12],"""fat sad woman""",4305,33,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,plastic,small,bottle_plastic_small,"""plastic small bottle""",bottle,[0.93],"""small plastic bottle""",2873,34,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,mustache-touting,glasses-wearing,man2_mustached_glassed,"""mustache-touting glasses-wearing man""",man,[0.37],"""glasses-wearing mustache-touting man""",6190,35,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,red,glossy,nails_red_glossy,"""glossy red nails""",nails,[0.08],"""red glossy nails""",3220,36,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,wooden,low,table_wood_low,"""wooden low table""",table,[0.89],"""low wooden table""",2415,37,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,big,round,earring_big_round,"""big round earring""",earring,[0.09],"""round big earring""",3084,38,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,short,blue,pencil_short_blue,"""short blue pencil""",pencil,[0.07],"""blue short pencil""",2994,39,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,black,glossy,nails_black_glossy,"""glossy black nails""",nails,[0.11],"""black glossy nails""",2551,40,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,young,sad,woman_young_sad,"""young sad woman""",woman,[0.92],"""sad young woman""",2507,41,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,wet,red,shorts_wet_red,"""red wet shorts""",shorts,[0.89],"""wet red shorts""",2440,42,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,metal,clean,spoon_metal_clean,"""clean metal spoon""",spoon,[0.09],"""metal clean spoon""",3002,43,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,striped,red,frog_striped_red,"""red striped frog""",frog,[0.89],"""striped red frog""",3148,44,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,old,bearded,man_old_bearded,"""old bearded man""",man,[0.86],"""bearded old man""",4147,45,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,big,triangular,earring_big_triangular,"""triangular big earring""",earring,[0.89],"""big triangular earring""",5083,46,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,red,matte,nails_red_matte,"""red matte nails""",nails,[0.88],"""matte red nails""",3215,47,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,open,cardboard,box_open_cardboard,"""cardboard open box""",box,[0.85],"""open cardboard box""",3019,48,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,small,round,earring_small_round,"""small round earring""",earring,[0.11],"""round small earring""",2379,49,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,happy,fat,woman2_happy_fat,"""happy fat woman""",woman,[0.09],"""fat happy woman""",3918,50,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,long,black,pencil_long_black,"""long black pencil""",pencil,[0.08],"""black long pencil""",3803,51,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,wooden,clean,spoon_wooden_clean,"""wooden clean spoon""",spoon,[0.86],"""clean wooden spoon""",2426,52,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,colored,rectangular,picture_colored_rectangular,"""rectangular colored picture""",picture,[0.1],"""colored rectangular picture""",3642,53,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,spotted,red,frog_spotted_red,"""red spotted frog""",frog,[0.73],"""spotted red frog""",6407,54,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
53,condition1,dry,green,shorts_dry_green,"""green dry shorts""",shorts,[0.88],"""dry green shorts""",33069,55,,[],,,-1,-1,,,Chrome,Mac,900,1440,4.267883333333334,
